Choose your Wish Reward from the following:
1. Essence Stones x12
2. 1h Construction Speedup x40
3. 1h Training Speedup x40
4. 1h General Speedup x40
Enter the number of your choice: Running strategy_1: Strategy 1: Refresh on finding wish reward or reveal cost > 4
Running strategy_2: Strategy 2: Refresh on reveal cost > 5 if no Essence Stones left
Running strategy_3: Strategy 3: Reveal always
Running strategy_4: Strategy 4: Reveal if Multiplier in remaining rewards
Running strategy_5: Strategy 5: Refresh if no wanted items in remaining rewards
Running strategy_6: Strategy 6: Reveal if reveal cost < 10, otherwise refresh
Running strategy_7: Strategy 7: Refresh on finding wish reward or reveal cost > 3
+------------------------------+------------+------------+------------+------------+------------+------------+------------+
| Collected Reward             | Strategy 1 | Strategy 2 | Strategy 3 | Strategy 4 | Strategy 5 | Strategy 6 | Strategy 7 |
+------------------------------+------------+------------+------------+------------+------------+------------+------------+
| 1,000 Gems                   | 0.0        | 0.0        | 0.0        | 0.0        | 0.0        | 0.0        | 0.0        |
| 10,000 Hero XP               | 0.0        | 0.0        | 0.0        | 0.0        | 0.0        | 0.0        | 0.0        |
| 100 Enhancement XP Component | 0.0        | 0.0        | 0.0        | 0.0        | 0.0        | 0.0        | 0.0        |
| 100 Gems                     | 0.0        | 0.0        | 0.0        | 0.0        | 0.0        | 0.0        | 0.0        |
| 100K Coal                    | 0.0        | 0.0        | 0.0        | 0.0        | 0.0        | 0.0        | 0.0        |
| 100K Iron                    | 0.0        | 0.0        | 0.0        | 0.0        | 0.0        | 0.0        | 0.0        |
| 100K Meat                    | 0.0        | 0.0        | 0.0        | 0.0        | 0.0        | 0.0        | 0.0        |
| 100K Wood                    | 0.0        | 0.0        | 0.0        | 0.0        | 0.0        | 0.0        | 0.0        |
| 1M Coal                      | 0.0        | 0.0        | 0.0        | 0.0        | 0.0        | 0.0        | 0.0        |
| 1M Iron                      | 0.0        | 0.0        | 0.0        | 0.0        | 0.0        | 0.0        | 0.0        |
| 1M Meat                      | 0.0        | 0.0        | 0.0        | 0.0        | 0.0        | 0.0        | 0.0        |
| 1M Wood                      | 0.0        | 0.0        | 0.0        | 0.0        | 0.0        | 0.0        | 0.0        |
| 1h Construction Speedup      | 0.0        | 0.0        | 0.0        | 0.0        | 0.0        | 0.0        | 0.0        |
| 1h General Speedup           | 0.0        | 0.0        | 0.0        | 0.0        | 0.0        | 0.0        | 0.0        |
| 1h Research Speedup          | 0.0        | 0.0        | 0.0        | 0.0        | 0.0        | 0.0        | 0.0        |
| 1h Training Speedup          | 0.0        | 0.0        | 0.0        | 0.0        | 0.0        | 0.0        | 0.0        |
| 3h General Speedup           | 0.0        | 0.0        | 0.0        | 0.0        | 0.0        | 0.0        | 0.0        |
| 50,000 Hero XP               | 0.0        | 0.0        | 0.0        | 0.0        | 0.0        | 0.0        | 0.0        |
| 5m Construction Speedup      | 0.0        | 0.0        | 0.0        | 0.0        | 0.0        | 0.0        | 0.0        |
| 5m General Speedup           | 0.0        | 0.0        | 0.0        | 0.0        | 0.0        | 0.0        | 0.0        |
| 5m Research Speedup          | 0.0        | 0.0        | 0.0        | 0.0        | 0.0        | 0.0        | 0.0        |
| 5m Training Speedup          | 0.0        | 0.0        | 0.0        | 0.0        | 0.0        | 0.0        | 0.0        |
| 8h General Speedup           | 0.0        | 0.0        | 0.0        | 0.0        | 0.0        | 0.0        | 0.0        |
| Charm Design                 | 0.0        | 0.0        | 0.0        | 0.0        | 0.0        | 0.0        | 0.0        |
| Essence Stones               | 0.0        | 0.0        | 0.0        | 0.0        | 0.0        | 0.0        | 0.0        |
| Fire Crystal                 | 0.0        | 0.0        | 0.0        | 0.0        | 0.0        | 0.0        | 0.0        |
| Multiplier                   | 0.0        | 0.0        | 0.0        | 0.0        | 0.0        | 0.0        | 0.0        |
+------------------------------+------------+------------+------------+------------+------------+------------+------------+
